Symbol,Name,Sector,Industry
AHL^F,Aspen Insurance Holdings Limited Depositary Shares each representing a 1/1000th Interest in a 7.00% Perpetual Non-Cumulative Preference Share,,
AHR,American Healthcare REIT Inc. Common Stock,Real Estate,Real Estate Investment Trusts
AHT,Ashford Hospitality Trust Inc Common Stock,Real Estate,Real Estate Investment Trusts
AHT^D,Ashford Hospitality Trust Inc 8.45% Series D Cumulative Preferred Stock,,
AHT^F,Ashford Hospitality Trust Inc 7.375% Series F Cumulative Preferred Stock,,
AHT^G,Ashford Hospitality Trust Inc 7.375% Series G Cumulative Preferred Stock,,
AHT^H,Ashford Hospitality Trust Inc 7.50% Series H Cumulative Preferred Stock,,
AHT^I,Ashford Hospitality Trust Inc 7.50% Series I Cumulative Preferred Stock,,
AI,C3.ai Inc. Class A Common Stock,Technology,Computer Software: Prepackaged Software
AIFF,Firefly Neuroscience Inc. Common Stock,Technology,Computer Software: Prepackaged Software
AIFU,AIFU Inc. Class A Ordinary Share,Finance,Specialty Insurers
AIG,American International Group Inc. New Common Stock,Finance,Life Insurance
AIHS,Senmiao Technology Limited Common Stock,Finance,Finance: Consumer Services
AII,American Integrity Insurance Group Inc. Common Stock,Finance,Property-Casualty Insurers
AIM,AIM ImmunoTech Inc. Common Stock,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
AIMD,Ainos Inc. Common Stock,Health Care,Biotechnology: Pharmaceutical Preparations
AIMDW,Ainos Inc. Warrants,Health Care,Biotechnology: Pharmaceutical Preparations
AIN,Albany International Corporation Common Stock,Consumer Discretionary,Textiles
AIO,Virtus Artificial Intelligence & Technology Opportunities Fund Common Shares of Beneficial Interest,Finance,Finance/Investors Services
AIOT,PowerFleet Inc. Common Stock,Telecommunications,Telecommunications Equipment
AIP,Arteris Inc. Common Stock,Technology,Semiconductors
AIR,AAR Corp. Common Stock,Industrials,Aerospace
AIRE,reAlpha Tech Corp. Common Stock,Finance,Real Estate
AIRG,Airgain Inc. Common Stock,Technology,Radio And Television Broadcasting And Communications Equipment
AIRI,Air Industries Group Common Stock,Industrials,Military/Government/Technical
AIRJ,AirJoule Technologies Corporation Class A Common Stock,Industrials,Industrial Machinery/Components
AIRJW,AirJoule Technologies Corporation Warrant,Industrials,Industrial Machinery/Components
AIRO,AIRO Group Holdings Inc. Common Stock,Industrials,Aerospace
AIRS,AirSculpt Technologies Inc. Common Stock,Health Care,Medical/Nursing Services
AIRT,Air T Inc. Common Stock,Consumer Discretionary,Air Freight/Delivery Services
AIRTP,Air T Inc. Air T Funding Alpha Income Trust Preferred Securities,Consumer Discretionary,Air Freight/Delivery Services
AISP,Airship AI Holdings Inc. Class A Common Stock,Technology,Computer Software: Prepackaged Software
AISPW,Airship AI Holdings Inc. Warrants,Technology,Computer Software: Prepackaged Software
AIT,Applied Industrial Technologies Inc. Common Stock,Consumer Discretionary,Industrial Specialties
AIV,Apartment Investment and Management Company Common Stock,Real Estate,Real Estate Investment Trusts
AIXI,XIAO-I Corporation American Depositary Shares,Technology,Computer Software: Prepackaged Software
AIZ,Assurant Inc. Common Stock,Finance,Property-Casualty Insurers
AIZN,Assurant Inc. 5.25% Subordinated Notes due 2061,Finance,Property-Casualty Insurers
AJG,Arthur J. Gallagher & Co. Common Stock,Finance,Specialty Insurers
AKA,a.k.a. Brands Holding Corp. Common Stock,Consumer Discretionary,Catalog/Specialty Distribution
AKAM,Akamai Technologies Inc. Common Stock,Real Estate,Real Estate
AKAN,Akanda Corp. Common Shares,Health Care, Medicinal Chemicals and Botanical Products 
AKBA,Akebia Therapeutics Inc. Common Stock,Health Care,Biotechnology: Pharmaceutical Preparations
AKO/A,Embotelladora Andina S.A.,,
AKO/B,Embotelladora Andina S.A.,,
AKR,Acadia Realty Trust Common Stock,Real Estate,Real Estate Investment Trusts
AKRO,Akero Therapeutics Inc. Common Stock,Health Care,Biotechnology: Pharmaceutical Preparations
AKTX,Akari Therapeutics plc ADS,Health Care,Biotechnology: Pharmaceutical Preparations
AL,Air Lease Corporation Class A Common Stock,Consumer Discretionary,Diversified Commercial Services
ALAB,Astera Labs Inc. Common Stock,Technology,Semiconductors
ALAR,Alarum Technologies Ltd. American Depositary Share,Technology,Computer Software: Prepackaged Software
ALB,Albemarle Corporation Common Stock,Industrials,Major Chemicals
ALB^A,Albemarle Corporation Depositary Shares each representing a 1/20th of 7.25% Series A Mandatory Convertible Preferred Stock,,
ALBT,Avalon GloboCare Corp. Common Stock,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
ALC,Alcon Inc. Ordinary Shares,Health Care,Ophthalmic Goods
ALCO,Alico Inc. Common Stock,,
ALCY,Alchemy Investments Acquisition Corp 1 Class A Ordinary Shares,Finance,Blank Checks
ALDF,Aldel Financial II Inc. Class A Ordinary Shares,,
ALDFW,Aldel Financial II Inc. Warrants,,
ALDX,Aldeyra Therapeutics Inc. Common Stock,Health Care,Biotechnology: Pharmaceutical Preparations
ALE,Allete Inc.,Utilities,Power Generation
ALEC,Alector Inc. Common Stock,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
ALEX,Alexander & Baldwin Inc. Common Stock REIT Holding Company,Real Estate,Real Estate Investment Trusts
ALF,Centurion Acquisition Corp. Class A Ordinary Shares,,
ALFUW,Centurion Acquisition Corp. Warrant,Finance,Blank Checks
ALG,Alamo Group Inc. Common Stock,Industrials,Industrial Machinery/Components
ALGM,Allegro MicroSystems Inc. Common Stock,Technology,Semiconductors
ALGN,Align Technology Inc. Common Stock,Health Care,Industrial Specialties
ALGS,Aligos Therapeutics Inc. Common Stock,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
ALGT,Allegiant Travel Company Common Stock,Consumer Discretionary,Air Freight/Delivery Services
ALHC,Alignment Healthcare Inc. Common Stock,Health Care,Medical Specialities
ALIT,Alight Inc. Class A Common Stock,Real Estate,Real Estate
ALK,Alaska Air Group Inc. Common Stock,Consumer Discretionary,Air Freight/Delivery Services
ALKS,Alkermes plc Ordinary Shares,Health Care,Biotechnology: Pharmaceutical Preparations
ALKT,Alkami Technology Inc. Common Stock,Technology,Computer Software: Prepackaged Software
ALL,Allstate Corporation (The) Common Stock,Finance,Property-Casualty Insurers
ALL^B,Allstate Corporation (The) 5.100% Fixed-to-Floating Rate Subordinated Debentures due 2053,,
ALL^H,Allstate Corporation (The) Depositary Shares each representing a 1/1000th interest in a share of Fixed Rate Noncumulative Perpetual Preferred Stock Series H,,
ALL^I,Allstate Corporation (The) Depositary Shares each representing a 1/1000th interest in a share of Fixed Rate Noncumulative Perpetual Preferred Stock Series I,,
ALL^J,Allstate Corporation (The) Depositary Shares each representing a 1/1000th interest in a share of Fixed Rate Noncumulative Perpetual Preferred Stock Series J,,
ALLE,Allegion plc Ordinary Shares,Consumer Discretionary,Diversified Commercial Services
ALLO,Allogene Therapeutics Inc. Common Stock,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
ALLR,Allarity Therapeutics Inc. Common Stock,Health Care,Biotechnology: Pharmaceutical Preparations
ALLT,Allot Ltd. Ordinary Shares,Telecommunications,Computer Communications Equipment
ALLY,Ally Financial Inc. Common Stock,Finance,Major Banks
ALM,Almonty Industries Inc. Common Shares,Basic Materials,Other Metals and Minerals
ALMS,Alumis Inc. Common Stock,Health Care,Biotechnology: Pharmaceutical Preparations
ALMU,Aeluma Inc. Common Stock,Technology,Semiconductors
ALNT,Allient Inc. Common Stock,Industrials,Electrical Products
ALNY,Alnylam Pharmaceuticals Inc. Common Stock,Health Care,Biotechnology: Pharmaceutical Preparations
ALOT,AstroNova Inc. Common Stock,Technology,Computer peripheral equipment
ALRM,Alarm.com Holdings Inc. Common Stock,Technology,Computer Software: Prepackaged Software
ALRS,Alerus Financial Corporation Common Stock,Finance,Major Banks
ALSN,Allison Transmission Holdings Inc. Common Stock,Consumer Discretionary,Auto Parts:O.E.M.
ALT,Altimmune Inc. Common Stock,Health Care,Biotechnology: Pharmaceutical Preparations
ALTG,Alta Equipment Group Inc. Class A Common Stock,Industrials,Industrial Machinery/Components
ALTG^A,Alta Equipment Group Inc. Depositary Shares (each representing 1/1000th in a share of 10% Series A Cumulative Perpetual Preferred Stock),,
ALTI,AlTi Global Inc. Class A Common Stock,Finance,Investment Managers
ALTO,Alto Ingredients Inc. Common Stock,Industrials,Major Chemicals
ALTS,ALT5 Sigma Corporation Common Stock,Finance,Finance: Consumer Services
ALUR,Allurion Technologies Inc. Common Stock,Health Care,Medical/Dental Instruments
ALV,Autoliv Inc. Common Stock,Consumer Discretionary,Auto Parts:O.E.M.
ALVO,Alvotech Ordinary Shares,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
ALVOW,Alvotech Warrant,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
ALX,Alexander's Inc. Common Stock,Real Estate,Real Estate Investment Trusts
ALXO,ALX Oncology Holdings Inc. Common Stock,Health Care,Biotechnology: Pharmaceutical Preparations
ALZN,Alzamend Neuro Inc. Common Stock,Health Care,Biotechnology: Pharmaceutical Preparations
AM,Antero Midstream Corporation Common Stock,Utilities,Natural Gas Distribution
AMAL,Amalgamated Financial Corp. Common Stock (DE),Finance,Major Banks
AMAT,Applied Materials Inc. Common Stock,Technology,Semiconductors
AMBA,Ambarella Inc. Ordinary Shares,Technology,Semiconductors
AMBC,Ambac Financial Group Inc. Common Stock,Finance,Property-Casualty Insurers
AMBI,Ambipar Emergency Response Class A Ordinary Shares,Industrials,Environmental Services
AMBO,Ambow Education Holding Ltd. American Depository Shares (each representing twenty (20) Class A Ordinary Shares),Real Estate,Other Consumer Services
AMBP,Ardagh Metal Packaging S.A. Ordinary Shares,Industrials,Containers/Packaging
AMBQ,Ambiq Micro Inc. Common Stock,Technology,Semiconductors
AMBR,Amber International Holding Limited American Depositary Shares,Finance,Finance: Consumer Services
AMC,AMC Entertainment Holdings Inc. Class A Common Stock,Consumer Discretionary,Movies/Entertainment
AMCR,Amcor plc Ordinary Shares,Consumer Discretionary,Miscellaneous manufacturing industries
AMCX,AMC Networks Inc. Class A Common Stock,Telecommunications,Cable & Other Pay Television Services
AMD,Advanced Micro Devices Inc. Common Stock,Technology,Semiconductors
AME,AMETEK Inc.,Industrials,Industrial Machinery/Components
AMG,Affiliated Managers Group Inc. Common Stock,Finance,Investment Managers
AMGN,Amgen Inc. Common Stock,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
AMH,American Homes 4 Rent Common Shares of Beneficial Interest,Real Estate,Real Estate Investment Trusts
AMH^G,American Homes 4 Rent Series G cumulative redeemable perpetual preferred shares of beneficial interest,,
AMH^H,American Homes 4 Rent Series H cumulative redeemable perpetual Preferred Shares of Beneficial Interest,,
AMIX,Autonomix Medical Inc. Common Stock,Health Care,Medical/Dental Instruments
AMKR,Amkor Technology Inc. Common Stock,Technology,Semiconductors
AMLX,Amylyx Pharmaceuticals Inc. Common Stock,Health Care,Biotechnology: Pharmaceutical Preparations
AMN,AMN Healthcare Services Inc,Consumer Discretionary,Professional Services
AMOD,Alpha Modus Holdings Inc. Class A Common Stock,Miscellaneous,Multi-Sector Companies
AMODW,Alpha Modus Holdings Inc. Warrant,Miscellaneous,Multi-Sector Companies
AMP,Ameriprise Financial Inc. Common Stock,Finance,Investment Managers
AMPG,Amplitech Group Inc. Common Stock,Telecommunications,Telecommunications Equipment
AMPGW,Amplitech Group Inc. Warrants,Telecommunications,Telecommunications Equipment
AMPH,Amphastar Pharmaceuticals Inc. Common Stock,Health Care,Biotechnology: Pharmaceutical Preparations
AMPL,Amplitude Inc. Class A Common Stock,Technology,Computer Software: Prepackaged Software
AMPX,Amprius Technologies Inc. Common Stock,Miscellaneous,Industrial Machinery/Components
AMPY,Amplify Energy Corp. Common Stock,Energy,Oil & Gas Production
AMR,Alpha Metallurgical Resources Inc. Common Stock,Energy,Coal Mining
AMRC,Ameresco Inc. Class A Common Stock,Consumer Discretionary,Engineering & Construction
AMRK,A-Mark Precious Metals Inc. Common Stock,Industrials,Other Specialty Stores
AMRN,Amarin Corporation plc,Health Care,Biotechnology: Pharmaceutical Preparations
AMRX,Amneal Pharmaceuticals Inc. Class A Common Stock,Health Care,Biotechnology: Pharmaceutical Preparations
AMRZ,Amrize Ltd Ordinary Shares,Industrials,Building Materials
AMS,American Shared Hospital Services Common Stock,Health Care,Medical Specialities
AMSC,American Superconductor Corporation Common Stock,Consumer Discretionary,Metal Fabrications
AMSF,AMERISAFE Inc. Common Stock,Finance,Property-Casualty Insurers
AMST,Amesite Inc. Common Stock,Technology,Computer Software: Prepackaged Software
AMT,American Tower Corporation (REIT) Common Stock,Real Estate,Real Estate Investment Trusts
AMTB,Amerant Bancorp Inc. Class A Common Stock,Finance,Major Banks
AMTD,AMTD IDEA Group American Depositary Shares each representing six (6) Class A Ordinary Shares,Finance,Finance: Consumer Services
AMTM,Amentum Holdings Inc. Common Stock,,
AMTX,Aemetis Inc. (DE) Common Stock,Industrials,Major Chemicals
AMWD,American Woodmark Corporation Common Stock,Basic Materials,Forest Products
AMWL,American Well Corporation Class A Common Stock,Real Estate,Real Estate
AMX,America Movil S.A.B. de C.V. American Depositary Shares (each representing the right to receive twenty (20) Series B Shares,Telecommunications,Telecommunications Equipment
AMZE,Amaze Holdings Inc. Common Stock,Consumer Staples,Beverages (Production/Distribution)
AMZN,Amazon.com Inc. Common Stock,Consumer Discretionary,Catalog/Specialty Distribution
AN,AutoNation Inc. Common Stock,Consumer Discretionary,Retail-Auto Dealers and Gas Stations
ANAB,AnaptysBio Inc. Common Stock,Health Care,Biotechnology: Pharmaceutical Preparations
ANDE,Andersons Inc. (The) Common Stock,Industrials,Farming/Seeds/Milling
ANEB,Anebulo Pharmaceuticals Inc. Common Stock,Health Care,Biotechnology: Pharmaceutical Preparations
ANET,Arista Networks Inc. Common Stock,Telecommunications,Computer Communications Equipment
ANF,Abercrombie & Fitch Company Common Stock,Consumer Discretionary,Clothing/Shoe/Accessory Stores
ANG^B,American National Group Inc. Depositary Shares each representing a 1/1000th interest in a share of 6.625% Fixed-Rate Reset Non-Cumulative Preferred Stock Series B,,
ANG^D,American National Group Inc. Depositary Shares each representing a 1/1000th interest in a share of 7.375% Fixed-Rate Non-Cumulative Preferred Stock Series D,,
ANGH,Anghami Inc. Ordinary Shares,Consumer Discretionary,Telecommunications Equipment
ANGHW,Anghami Inc. Warrants,Consumer Discretionary,Telecommunications Equipment
ANGI,Angi Inc. Class A Common Stock,Consumer Discretionary,Advertising
ANGO,AngioDynamics Inc. Common Stock,Health Care,Medical/Dental Instruments
ANIK,Anika Therapeutics Inc. Common Stock,Health Care,Medical/Dental Instruments
ANIP,ANI Pharmaceuticals Inc.,Health Care,Biotechnology: Pharmaceutical Preparations
ANIX,Anixa Biosciences Inc. Common Stock,Health Care,Biotechnology: Pharmaceutical Preparations
ANL,Adlai Nortye Ltd. American Depositary Shares,Health Care,Biotechnology: Pharmaceutical Preparations
ANNA,AleAnna Inc. Class A Common Stock,Energy,Oil & Gas Production
ANNAW,AleAnna Inc. Warrant,Energy,Oil & Gas Production
ANNX,Annexon Inc. Common Stock,Health Care,Biotechnology: Pharmaceutical Preparations
ANPA,Rich Sparkle Holdings Limited Ordinary Shares,Consumer Discretionary,Other Consumer Services
ANRO,Alto Neuroscience Inc. Common Stock,Health Care,Biotechnology: Pharmaceutical Preparations
ANSC,Agriculture & Natural Solutions Acquisition Corporation Class A Ordinary Shares,,
ANSCU,Agriculture & Natural Solutions Acquisition Corporation Unit,,
ANSCW,Agriculture & Natural Solutions Acquisition Corporation Warrant,,
ANTA,Antalpha Platform Holding Company Class A Ordinary Shares,Finance,Investment Bankers/Brokers/Service
ANTE,AirNet Technology Inc. Ordinary Share,Consumer Discretionary,Advertising
ANTX,AN2 Therapeutics Inc. Common Stock,Health Care,Biotechnology: Pharmaceutical Preparations
ANVS,Annovis Bio Inc. Common Stock,Health Care,Biotechnology: Pharmaceutical Preparations
ANY,Sphere 3D Corp. Common Shares,Finance,Finance: Consumer Services
